Device Type,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Zone Traffic (StL Index)
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),154
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),72
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),2177
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (M-Th),1: Early AM (12am-6am),64
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),748
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),1076
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),210
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (M-Th),5: Late PM (7pm-12am),79
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),604
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),68
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),296
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),152
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),8
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),81
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),3105
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),44
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),720
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),1608
