Device Type,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Zone Traffic (Trip Counts),Zone Traffic (StL Index)
Commercial,Origin,12,Stillwater Motors,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),3,5
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),1718,872
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),23,15
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),542,274
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),852,430
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),257,129
Commercial,Origin,13,58th St West,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),44,25
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),1367,1211
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),14,16
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),445,384
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),686,610
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),197,177
Commercial,Origin,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),25,24
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),77,152
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),5,12
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),37,74
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),23,40
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),4,7
Commercial,Origin,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),8,19
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),6402,2997
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),98,46
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),1572,713
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),3366,1577
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1011,465
Commercial,Origin,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),355,197
Commercial,Origin,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),4971,4065
Commercial,Origin,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),74,60
Commercial,Origin,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1187,938
Commercial,Origin,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),2675,2185
Commercial,Origin,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),771,624
Commercial,Origin,14,Greeley St,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),264,258
Commercial,Origin,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),281,429
Commercial,Origin,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),6,13
Commercial,Origin,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),86,129
Commercial,Origin,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),100,150
Commercial,Origin,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),70,107
Commercial,Origin,14,Greeley St,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),19,30
Commercial,Origin,15,Washington Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),8428,4289
Commercial,Origin,15,Washington Ave,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),368,227
Commercial,Origin,15,Washington Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),2446,1252
Commercial,Origin,15,Washington Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),3634,1795
Commercial,Origin,15,Washington Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1239,599
Commercial,Origin,15,Washington Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),741,416
Commercial,Origin,15,Washington Ave,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),6170,5431
Commercial,Origin,15,Washington Ave,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),254,266
Commercial,Origin,15,Washington Ave,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1719,1524
Commercial,Origin,15,Washington Ave,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),2812,2431
Commercial,Origin,15,Washington Ave,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),910,760
Commercial,Origin,15,Washington Ave,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),475,450
Commercial,Origin,15,Washington Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),840,1637
Commercial,Origin,15,Washington Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),70,164
Commercial,Origin,15,Washington Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),312,588
Commercial,Origin,15,Washington Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),201,359
Commercial,Origin,15,Washington Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),109,194
Commercial,Origin,15,Washington Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),148,332
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),13070,6274
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),389,237
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),4093,1911
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),5594,2661
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),2484,1181
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),510,283
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),9938,8280
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),295,312
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),3112,2523
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),4310,3560
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),1859,1531
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),362,353
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),826,1516
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),47,101
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),267,480
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),303,557
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),158,281
Commercial,Origin,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),51,97
Commercial,Origin,17,58th St East,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),7380,3414
Commercial,Origin,17,58th St East,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),192,112
Commercial,Origin,17,58th St East,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),2327,1079
Commercial,Origin,17,58th St East,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),3436,1574
Commercial,Origin,17,58th St East,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1256,563
Commercial,Origin,17,58th St East,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),169,86
Commercial,Origin,17,58th St East,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),5494,4393
Commercial,Origin,17,58th St East,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),159,161
Commercial,Origin,17,58th St East,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1757,1406
Commercial,Origin,17,58th St East,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),2561,2024
Commercial,Origin,17,58th St East,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),904,704
Commercial,Origin,17,58th St East,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),113,99
Commercial,Origin,17,58th St East,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),463,788
Commercial,Origin,17,58th St East,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),16,37
Commercial,Origin,17,58th St East,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),177,307
Commercial,Origin,17,58th St East,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),149,248
Commercial,Origin,17,58th St East,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),98,157
Commercial,Origin,17,58th St East,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),23,39
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),7592,3343
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),176,87
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),2432,1058
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),2930,1292
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1699,749
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),355,156
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),5716,4405
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),141,124
Commercial,Origin,18,North Stillwater Blvd,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1845,1407
